,variable,precision,recall,f1,auc,auc+f1+prec,data_fill,transformation,resample,classifier
103,"var5,var7",0.9518862852381988,0.9470599072166676,0.9494576793385952,0.5051341064309917,2.4064780710077853,median,stdscl,SMOTE,LR
104,"var5,var8",0.9505329908800402,0.7821433954680199,0.8561966246357301,0.5503378484413681,2.3570674639571383,median,stdscl,SMOTE,LR
105,"var6,var7",0.9518798289879292,0.9469426719590012,0.9493951771605644,0.5047159636730836,2.405990969821577,median,stdscl,SMOTE,LR
106,"var6,var8",0.9505398483608888,0.7823443701954479,0.8563215848871566,0.5500637750112498,2.3569252082592955,median,stdscl,SMOTE,LR
107,"var7,var8",0.950667389369704,0.7804351102848817,0.8551444450374341,0.5503755455466633,2.3561873799538007,median,stdscl,SMOTE,LR
108,var1,0.953578891032674,0.8876216315798289,0.918408762105154,0.5341794528099203,2.4061671059477483,median,stdscl,SMOTE,DT
109,var2,0.9676070577201288,0.2480195615401363,0.3663749468793874,0.5981621289162072,1.9321441335157237,median,stdscl,SMOTE,DT
110,var3,0.9694796379192466,0.11360096467869164,0.16460839483903913,0.5636643763148828,1.6977524090731686,median,stdscl,SMOTE,DT
111,var4,0.0006252303047540487,0.02500460567083689,0.0012199560885774805,0.4206813096267764,0.422526496020108,median,stdscl,SMOTE,DT
112,var5,0.95091221948228,0.973689058600881,0.962029454266936,0.5017215490805379,2.4146632228297538,median,stdscl,SMOTE,DT
113,var6,0.9506025375067648,0.9744427138287359,0.9623750047204848,0.4984294176727436,2.411406959899993,median,stdscl,SMOTE,DT
114,var7,0.9370817122141359,0.028906864961731064,0.009321071349642182,0.4940458822956584,1.4404486658594366,median,stdscl,SMOTE,DT
115,var8,0.9642011066994526,0.29972031017099604,0.4330095853303632,0.5918445071089389,1.9890551991387544,median,stdscl,SMOTE,DT
116,"var1,var2",0.9685437089399472,0.22199333433820695,0.330807198715732,0.5981615996725501,1.8975125073282293,median,stdscl,SMOTE,DT
117,"var1,var3",0.9702726286534162,0.10884456279622838,0.15643402629277298,0.5788934948683155,1.7056001498145048,median,stdscl,SMOTE,DT
118,"var1,var4",0.0006252303047540487,0.02500460567083689,0.0012199560885774805,0.4241442199091155,0.425989406302447,median,stdscl,SMOTE,DT
119,"var1,var5",0.9537242981361772,0.9380160444824064,0.945660700349216,0.531933728155238,2.4313187266406318,median,stdscl,SMOTE,DT
120,"var1,var6",0.9537720792539292,0.9392051449530222,0.9463030424022479,0.5274838877521144,2.4275590094082915,median,stdscl,SMOTE,DT
121,"var1,var7",0.9505131511332711,0.03980974392470147,0.031153843811901564,0.4730072503619797,1.4546742453071522,median,stdscl,SMOTE,DT
122,"var1,var8",0.9639889294144024,0.3796580080054933,0.524666592412215,0.6154884502466321,2.104143972073249,median,stdscl,SMOTE,DT
123,"var2,var3",0.9691385465588932,0.16260530238322532,0.2437600159585794,0.5827195180734868,1.7956180805909594,median,stdscl,SMOTE,DT
124,"var2,var4",0.9689730852512332,0.2273526604029543,0.33812374173300325,0.5172914257649249,1.8243882527491613,median,stdscl,SMOTE,DT
125,"var2,var5",0.9509615802749848,0.9707916729471268,0.9606585654970528,0.4740957377385059,2.385715883510544,median,stdscl,SMOTE,DT
126,"var2,var6",0.951245957624754,0.9667721783985664,0.958843035831662,0.5587602089950988,2.4688492024515147,median,stdscl,SMOTE,DT
127,"var2,var7",0.9679126821805208,0.2465792426602355,0.3643899400713781,0.5748825412734119,1.9071851635253108,median,stdscl,SMOTE,DT
128,"var2,var8",0.9667061219981504,0.2781992664422449,0.40569594193628217,0.5795227368137562,1.9519248007481889,median,stdscl,SMOTE,DT
129,"var3,var4",0.9714831925361728,0.10626538712756872,0.15187468201233842,0.4622832839265204,1.5856411584750316,median,stdscl,SMOTE,DT
130,"var3,var5",0.9507109050874276,0.9608099281515351,0.955717051711846,0.4977444670797099,2.404172423878984,median,stdscl,SMOTE,DT
131,"var3,var6",0.9526313372650036,0.1867055217806361,0.2835029020820436,0.5106374696133603,1.7467717089604076,median,stdscl,SMOTE,DT
132,"var3,var7",0.9693895585569604,0.11487380461906915,0.16676812256850454,0.5710766926063556,1.7072343737318203,median,stdscl,SMOTE,DT
133,"var3,var8",0.966975801447956,0.13016463179755144,0.19253966579091736,0.5981865201456368,1.75770198738451,median,stdscl,SMOTE,DT
134,"var4,var5",0.9563526758485552,0.942286757440252,0.9490566468576548,0.5601203306788004,2.4655296533850097,median,stdscl,SMOTE,DT
135,"var4,var6",0.6506213850584488,0.02503810145874156,0.0013524106492997438,0.42064501616770333,1.072618811875452,median,stdscl,SMOTE,DT
136,"var4,var7",0.0006252303047540487,0.02500460567083689,0.0012199560885774805,0.4812564734553011,0.4831016598486326,median,stdscl,SMOTE,DT
137,"var4,var8",0.9551383311054382,0.032641645313101875,0.016703729253431783,0.4354029813077584,1.4072450416666284,median,stdscl,SMOTE,DT
138,"var5,var6",0.9515286639231464,0.9732536133581202,0.9619035946763872,0.5048125851564551,2.4182448437559887,median,stdscl,SMOTE,DT
139,"var5,var7",0.9506710768521656,0.9589174161349209,0.954766123817957,0.49552984124255,2.4009670419126725,median,stdscl,SMOTE,DT
140,"var5,var8",0.950912107633048,0.9713778492354588,0.9609263348377972,0.5362139632241009,2.4480524056949458,median,stdscl,SMOTE,DT
141,"var6,var7",0.9370817122141359,0.028906864961731064,0.009321071349642182,0.4940458822956584,1.4404486658594366,median,stdscl,SMOTE,DT
142,"var6,var8",0.9510893239798016,0.8456514093352759,0.8941873390648912,0.5027193747174874,2.34799603776218,median,stdscl,SMOTE,DT
143,"var7,var8",0.9524067672366464,0.03505334204223818,0.021599629199897483,0.4143724893716368,1.3883788858081805,median,stdscl,SMOTE,DT
144,var1,0.953763005388366,0.922021805757926,0.9372112438573118,0.5687123138247371,2.4596865630704148,median,minmax,SMOTE,LR
145,var2,0.9517643600795109,0.6369559027952235,0.7575023596098888,0.5389186916986338,2.2481854113880337,median,minmax,SMOTE,LR
146,var3,0.9514212462174301,0.8213837109983421,0.8800593950275907,0.5169019427015964,2.3483825839466173,median,minmax,SMOTE,LR
147,var4,0.9573431802650696,0.9365254819206484,0.9463805593045672,0.6413925399286726,2.545116279498309,median,minmax,SMOTE,LR
148,var5,0.9506160189630803,0.9749953943291632,0.9626513780159688,0.48972494148636103,2.40299233846541,median,minmax,SMOTE,LR
149,var6,0.9506160189630803,0.9749953943291632,0.9626513780159688,0.4925639885495603,2.4058313855286086,median,minmax,SMOTE,LR
150,var7,0.9517822429013456,0.9499405449764692,0.9508591248920366,0.5121959023470898,2.4148372701404717,median,minmax,SMOTE,LR
